0.1841	-0.02	-0.04	-0.0165	-0.0176	-0.0051	0.2065	0.1661	0.1359	0.1578	0.1579	0.2304	1
0.1604	0.0081	0.0133	-0.006	-0.0063	-0.0023	0.1929	0.1563	0.1257	0.1446	0.1457	0.2172	1
0.1819	-0.0204	-0.0437	-0.013	-0.0181	-0.0057	0.206	0.166	0.1352	0.1577	0.1577	0.2303	1
0.178	-0.0203	-0.0453	-0.014	-0.0181	-0.0051	0.207	0.166	0.1352	0.1583	0.158	0.2311	1
0.1501	-0.0119	-0.0249	-0.0107	-0.0117	-0.0045	0.197	0.1601	0.1304	0.1507	0.1501	0.2219	2
0.1485	-0.0128	-0.0284	-0.0107	-0.0123	-0.0034	0.2019	0.1635	0.1334	0.1541	0.1536	0.2266	2
0.1563	0.0082	0.0128	-0.0066	-0.0069	-0.0028	0.1932	0.157	0.1266	0.1453	0.1462	0.2175	2
0.1442	-0.0128	-0.0303	-0.0112	-0.0115	-0.0034	0.203	0.1643	0.1344	0.1547	0.1547	0.2281	2
0.1441	-0.0184	-0.0402	-0.0141	-0.0157	-0.0051	0.2023	0.163	0.1338	0.1529	0.1545	0.2266	3
0.1375	-0.0189	-0.0435	-0.0146	-0.0162	-0.0051	0.2057	0.1653	0.1366	0.1562	0.1573	0.2306	3
0.157	-0.0153	-0.032	-0.0121	-0.0122	-0.004	0.1996	0.1601	0.1311	0.1492	0.152	0.2229	3
0.1294	-0.0199	-0.0455	-0.0151	-0.0161	-0.0045	0.2041	0.1636	0.1344	0.1546	0.156	0.2283	3
0.1409	-0.0309	-0.07	-0.0229	-0.0246	-0.0064	0.2093	0.1661	0.138	0.1568	0.1612	0.2327	4
0.1331	-0.0313	-0.0732	-0.0228	-0.0251	-0.0062	0.21	0.1662	0.138	0.1576	0.1615	0.2336	4
0.1236	-0.0317	-0.0766	-0.0239	-0.0251	-0.0057	0.2105	0.1664	0.1382	0.1577	0.1618	0.234	4
0.1595	-0.0278	-0.0658	-0.0209	-0.0222	-0.0057	0.2068	0.1636	0.1353	0.1532	0.1592	0.229	4
